Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RPA Challenge,Chrome 132.0.6834.160,,,03-02-2025 11:58:21,03-02-2025 11:59:21,59.856s,PASSED
,,,,,,,
Test Cases/Open Browser,Chrome 132.0.6834.160,,,03-02-2025 11:58:21,03-02-2025 11:58:24,2.820s,PASSED
"openBrowser(""https://rpachallenge.com/"")",Chrome 132.0.6834.160,,,03-02-2025 11:58:22,03-02-2025 11:58:24,2.611s,PASSED
maximizeWindow(),Chrome 132.0.6834.160,,,03-02-2025 11:58:24,03-02-2025 11:58:24,0.071s,PASSED
,,,,,,,
Test Cases/RPA Challenge,Chrome 132.0.6834.160,,,03-02-2025 11:58:24,03-02-2025 11:58:30,5.624s,PASSED
"DATA BINDING - {""firstName"":""John"",""lastName"":""Smith"",""address"":""98 North Road"",""phoneNumber"":""40716543298"",""companyName"":""IT Solutions"",""roleInCompany"":""Analyst"",""email"":""jsmith@itsolutions.co.uk""}",,,,,,,
"click(findTestObject(""Button/btn_Start""))",Chrome 132.0.6834.160,,,03-02-2025 11:58:25,03-02-2025 11:58:25,0.360s,PASSED
"setText(findTestObject(""Input Form/firstName""), firstName)",Chrome 132.0.6834.160,,,03-02-2025 11:58:25,03-02-2025 11:58:26,0.852s,PASSED
"setText(findTestObject(""Input Form/lastName""), lastName)",Chrome 132.0.6834.160,,,03-02-2025 11:58:26,03-02-2025 11:58:26,0.596s,PASSED
"setText(findTestObject(""Input Form/address""), address)",Chrome 132.0.6834.160,,,03-02-2025 11:58:26,03-02-2025 11:58:27,0.579s,PASSED
"setText(findTestObject(""Input Form/companyName""), companyName)",Chrome 132.0.6834.160,,,03-02-2025 11:58:27,03-02-2025 11:58:28,0.620s,PASSED
"setText(findTestObject(""Input Form/email""), email)",Chrome 132.0.6834.160,,,03-02-2025 11:58:28,03-02-2025 11:58:28,0.743s,PASSED
"setText(findTestObject(""Input Form/roleInCompany""), roleInCompany)",Chrome 132.0.6834.160,,,03-02-2025 11:58:28,03-02-2025 11:58:29,0.674s,PASSED
"setText(findTestObject(""Input Form/phoneNumber""), phoneNumber)",Chrome 132.0.6834.160,,,03-02-2025 11:58:29,03-02-2025 11:58:30,0.673s,PASSED
"click(findTestObject(""Button/btn_Submit""))",Chrome 132.0.6834.160,,,03-02-2025 11:58:30,03-02-2025 11:58:30,0.375s,PASSED
,,,,,,,
